date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,报告日,净利润,营业利润,利润总额,应收账款,存货,资产总计,负债合计,经营活动产生的现金流量净额,投资活动产生的现金流量净额,筹资活动产生的现金流量净额,现金及现金等价物净增加额,实际披露日,stock_status,营业总收入,营业总成本,营业成本,所得税费用,归属于母公司所有者的净利润,货币资金,流动资产合计,非流动资产合计,流动负债合计,非流动负债合计,所有者权益(或股东权益)合计,流通股本,流通市值
2010-01-04,sz.000030,7.84,7.84,7.62,7.68,7.74,779500.0,5968661.9,3,1.290891,1,-0.7752,-47.735399,-1.298302,1194.768229,68237.581744,1,2009-09-30,17417355.75,-26453981.13,17417355.75,,2000000.0,43628768.66,1749753730.46,13437.53,,,13437.53,2009-12-30,正常票,1390478.22,27844459.35,0.0,,17417355.75,43501.66,32494907.67,11133860.99,1015258365.04,734495365.42,-1706124961.8,60384649.05247615,463754104.72301686
2010-01-04,sz.000031,11.28,11.35,10.97,10.97,11.23,24324760.0,269690210.72,3,1.34116,1,-2.3152,118.193368,6.132177,19.949515,-30.675138,0,2009-09-30,132272144.74,149158157.69,151527596.52,11197259.34,5612076823.2,9728097669.65,5986951787.77,440404092.79,80952264.7,-269309718.81,251965982.88,2009-12-30,正常票,442619687.15,444478236.87,244864511.53,19255451.78,127832802.37,1545354985.24,7930766297.85,1797331371.8,4297014260.23,1689937527.54,3741145881.88,1813710519.251991,19896404396.194344
2010-01-04,sz.000032,8.65,8.9,8.55,8.81,8.63,7414065.0,65189117.84,3,3.184474,1,2.0857,103.067048,2.822401,1.817894,98.087177,0,2009-09-30,25569564.65,36327115.93,37977383.62,98054132.02,439018917.51,1314700304.34,538946885.85,133922131.34,24232702.57,-45508826.02,112188817.43,2009-12-30,正常票,803180256.08,792777133.11,675160540.26,12407818.97,19308301.98,263431724.97,924550415.24,390149889.1,532545224.43,6401661.42,775753418.49,232819140.61788544,2051136628.843571
2010-01-04,sz.000033,7.37,7.49,7.17,7.24,7.35,7826158.0,57250732.83,3,2.453825,1,-1.4966,-213.545616,8.048174,38.424129,497.242098,0,2009-09-30,-11457486.56,-11455590.06,-11457486.56,23530135.21,1418802.52,476549901.21,180225420.82,3491148.12,-7823854.81,6296203.81,1963497.12,2009-12-30,退市票,44275926.16,55731516.22,25408645.54,,-11457486.56,7343414.32,56777921.97,419771979.24,42840885.58,137384535.24,296324480.39,318937088.015649,2309104517.233299
2010-01-04,sz.000034,8.8,8.8,8.8,8.8,8.8,0.0,0.0,3,,0,0.0,-13.48488,-2.747145,9.011364,148.910039,1,2009-09-30,-2376386.11,-3171846.03,-2096497.41,20006267.18,37161592.4,163563781.41,1298937524.01,12014074.9,-304198.18,-1518675.14,10191201.58,2009-12-30,正常票,269702556.53,273063074.38,215442830.56,279888.7,-487937.79,40214792.36,112910394.14,50653387.27,829645687.06,469291836.95,-1135373742.6,,
2010-01-04,sz.000035,6.95,6.97,6.73,6.76,6.9,2172449.0,14773914.51,3,2.544073,1,-2.029,-7.854896,-0.81448,236.510389,-110091.53761,1,2009-09-30,-14170346.72,-19643854.24,-14170346.72,13674329.21,,571893676.76,1816914334.66,-419304.63,383600.0,,-35704.63,2009-12-30,正常票,4258351.5,70757463.34,1966844.37,,-14170346.72,607469.93,81227533.42,490666143.34,1586123212.18,230791122.48,-1245020657.9,85392557.52488233,577253688.8682046
2010-01-04,sz.000036,6.57,6.75,6.53,6.67,6.54,15390260.0,102814240.95,3,1.369377,1,1.9878,48.868514,5.176192,4.695109,11.982625,1,2009-09-30,395998452.55,492533661.73,489066196.18,2175524.93,1093543897.74,3166514314.38,1320357545.15,876641880.67,9076138.0,-407655545.71,478062472.96,2009-12-30,正常票,1576432045.71,1084099043.06,639506073.82,93067743.63,268067501.81,1374483837.97,2604011895.41,562502418.97,884280683.97,436076861.18,1846156769.23,1123887724.1256425,7496331119.9180355
2010-01-04,sz.000037,7.25,7.28,7.16,7.18,7.24,3820082.0,27505741.46,3,1.127216,1,-0.8287,28.731055,2.229638,2.37464,-64.970095,0,2009-09-30,215091316.14,-161245405.02,215432497.91,592824747.82,1311879385.9,5223649340.71,3072676253.52,236872808.32,-235753587.75,-88480167.43,-87366154.28,2009-12-30,正常票,1487870813.13,1649382307.95,1469557913.14,341181.77,167875933.6,342141561.01,2288121319.31,2935528021.4,2848076253.52,224600000.0,2150973087.19,338895296.0213482,2433268225.43328
2010-01-04,sz.000038,12.33,12.33,12.33,12.33,12.33,0.0,0.0,3,,0,0.0,6.282237,11.972834,,22.423888,1,2009-09-30,-4615687.5,-4615967.72,-4615687.5,,300234920.05,361865741.79,235722017.74,-71544258.56,-47217.0,92000000.0,20408524.44,2009-12-30,退市票,0.0,4615967.72,0.0,,-4422770.16,52939139.18,361441514.0,424227.79,143722017.74,92000000.0,126143724.05,,
2010-01-04,sz.000039,13.25,13.35,13.09,13.09,13.1,12573695.0,165895403.24,3,1.021176,1,-0.0763,72.444269,2.67705,1.926274,-190.229276,0,2009-09-30,861688000.0,1095240000.0,1147339000.0,2892409000.0,7497306000.0,31673665000.0,17014869000.0,1333457000.0,755986000.0,-2045420000.0,-121429000.0,2009-12-30,正常票,13885634000.0,14236433000.0,12022410000.0,285651000.0,775764000.0,2980114000.0,16181478000.0,15492187000.0,11640536000.0,5374333000.0,14658796000.0,1231295584.698426,16117659203.702396
