报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20230331,98046133.07,98046133.07,,,,,,86498505.42,76610354.58,,,,,,,,,1757769.82,2709685.75,1711118.9,3333285.92,376290.45,,,19580.43,,,,,129056.65,,,,1746444.15,-112077.03,-354501.76,,,12976130.09,3704074.99,,132502.0,,16547703.08,1698510.05,,14849193.03,,,14793659.94,,55533.09,,,,,,,,,,,,,,,,,,,,14849193.03,14793659.94,55533.09,0.16,0.16,定期报告,未审计,20240426,CNY,合并期末,2024-04-26T19:42:04
20221231,380951069.13,380951069.13,,,,,,340137864.23,300436557.9,,,,,,,,,6085094.79,15432850.27,6005682.84,15159113.84,-2981435.41,762784.12,,1170871.27,,,,,671770.17,,,,2500251.85,-658577.59,-89364.9,,18851.78,44427007.48,2519364.58,,100763.95,,46845608.11,4375650.07,,42469958.04,42469958.04,,42111718.79,,358239.25,,,,,,,,,,,,,,,,,,,,42469958.04,42111718.79,358239.25,0.44,0.44,定期报告,是,20240426,CNY,合并期末,2024-04-26T19:42:04
20220930,291937482.69,291937482.69,,,,,,262115072.48,233674432.2,,,,,,,,,4332032.22,9715644.41,4443124.33,12241150.55,-2291311.23,963415.78,,840801.83,,,,,228580.56,,,,1959233.65,-414483.24,439004.42,,18851.78,32894399.21,66.13,,98644.94,,32795820.4,3580611.76,,29215208.64,29215208.64,,29028572.11,,186636.53,,,,,,,,,,,,,,,,,,,,29215208.64,29028572.11,186636.53,0.3,0.3,定期报告,未审计,20231030,CNY,合并期末,2022-10-28T16:02:03
20220630,193378923.4,193378923.4,,,,,,178417604.24,157369018.92,,,,,,,,,2926176.82,6794380.81,2983286.29,8268428.61,76312.79,762784.12,,441868.5,,,,,176900.0,,,,1316584.97,-219251.45,376351.02,,-1728.74,17052043.46,,,55078.31,,16996965.15,2813825.21,,14183139.94,14183139.94,,14084980.17,,98159.77,,,,,,,,,,,,,,,,,,,,14183139.94,14084980.17,98159.77,0.15,0.15,定期报告,未审计,20230824,CNY,合并期末,2022-08-24T16:32:05
20220331,106907499.93,106907499.93,,,,,,98015650.76,87150208.11,,,,,,,,,1365719.68,2560041.5,1695906.02,4122232.99,1121542.46,410365.37,,266285.16,,,,,97333.33,,,,485942.33,-128681.16,-23835.12,,-1728.74,9587164.97,,,28124.08,,9559040.89,1083695.1,,8475345.79,8475345.79,,8451654.06,,23691.73,,,,,,,,,,,,,,,,,,,,8475345.79,8451654.06,23691.73,0.09,0.09,定期报告,未审计,20230427,CNY,合并期末,2023-04-27T19:57:04
20211231,389809129.91,389809129.91,,,,,,353024158.34,308487219.14,,,,,,,,,4621380.03,13439299.27,6137385.08,14880077.41,5458797.41,1636268.38,,2147349.52,,,,,205179.17,,,,5030762.92,-202189.65,-1828568.46,,23469.16,42160974.23,4320916.18,,502668.29,,45979222.12,4979986.18,,40999235.94,40999235.94,,40747001.05,,252234.89,,,,,,,,,,,,,,,,,,,,40999235.94,40747001.05,252234.89,0.44,0.44,定期报告,是,20230424,CNY,合并期末,2022-04-06T19:37:04
20210930,283322969.7,283322969.7,,,,,,249447927.19,213103650.87,,,,,,,,,3165210.76,8741357.67,12326744.21,9395783.78,2715179.9,997546.26,,1647002.29,,,,,,,,,6654662.87,-331422.69,-1037930.11,,4876.08,40812230.95,24123.58,,345119.03,,40491235.5,5726649.0,,34764586.5,34764586.5,,34609605.9,,154980.6,,,,,,,,,,,,,,,,,,,,34764586.5,34609605.9,154980.6,0.37,0.37,定期报告,未审计,20221028,CNY,合并期末,2021-10-28T20:47:03
20210630,185270117.62,185270117.62,,,,,,162801882.79,139923715.92,,,,,,,,,1874941.1,4965073.33,8393539.04,6037435.15,1607178.25,413897.64,,766957.77,,,,,,,,,5986122.24,-196026.09,-862565.97,,4876.08,28167598.86,,,8133.14,,28159465.72,3349649.59,,24809816.13,24809816.13,,24728851.68,,80964.45,,,,,,,,,,,,,,,,,,,,24809816.13,24728851.68,80964.45,0.26,0.26,定期报告,未审计,20220824,CNY,合并期末,2021-08-24T16:07:03
20210331,88141088.79,88141088.79,,,,,,76360743.04,65360028.28,,,,,,,,,919314.5,2357835.15,3844803.44,2982048.35,896713.32,115285.74,,112500.0,,,,,,,,,5531028.47,-48661.29,-592406.18,,,16782806.75,,,,,16782806.75,2228008.89,,14554797.86,14554797.86,,14514807.68,,39990.18,,,,,,,,,,,,,,,,,,,,14554797.86,14514807.68,39990.18,0.1557,0.1557,定期报告,未审计,20220429,CNY,合并期末,2021-04-29T21:27:03
20201231,302373731.02,302373731.02,,,,,,250184128.65,203322965.01,,,,,,,,,4286296.05,12052667.08,15049786.64,13249981.85,2222432.02,72422.84,,314904.11,,,0.0,,0.0,,,,3790669.88,-272219.23,-1049346.53,,-113621.54,54859989.06,91504.0,,128262.57,,54823230.49,7262898.58,,47560331.91,47560331.91,,47384226.95,,176104.96,,,,,,,,,,,,,,,,,,,,47560331.91,47384226.95,176104.96,0.66,0.66,定期报告,是,20220406,CNY,合并期末,2021-04-29T20:07:04
